[GENERAL]
DATE=August 08, 2025 at 12:20:03
CYME_VERSION=8.00
CYMDIST_REVISION=01
              
[SI]

[NODE]
FORMAT_NODE=NodeID,CoordX,CoordY
760437.108732783_1837662.38623402,760437.108732783,1837662.38623402
760437.908693024_1837662.39420976,760437.908693024,1837662.39420976
760439.450768391_1839848.37560145,760439.450768391,1839848.37560145
760477.77543622_1837755.3202229,760477.77543622,1837755.3202229
760477.99447055_1837755.76998705,760477.99447055,1837755.76998705
760478.340884972_1837756.13084379,760478.340884972,1837756.13084379
760478.494792029_1837755.7749771,760478.494792029,1837755.7749771
760478.995114857_1837755.77985645,760478.995114857,1837755.77985645
760479.795076816_1837755.787658,760479.795076816,1837755.787658
760489.983497258_1837768.25925979,760489.983497258,1837768.25925979
760490.329804526_1837768.62011549,760490.329804526,1837768.62011549
760735.70861219_1839729.6159734,760735.70861219,1839729.6159734
760802.419622225_1840254.48097048,760802.419622225,1840254.48097048
760802.919779496_1840254.48597488,760802.919779496,1840254.48597488
760803.42015023_1840254.49098189,760803.42015023,1840254.49098189
760804.22011018_1840254.49898677,760804.22011018,1840254.49898677
760806.797877117_1840320.46876068,760806.797877117,1840320.46876068
761087.665512123_1837397.97020317,761087.665512123,1837397.97020317
761327.833136_1839356.71130135,761327.833136,1839356.71130135
761327.838188199_1839356.21122883,761327.838188199,1839356.21122883
761327.843137722_1839355.71082287,761327.843137722,1839355.71082287
761327.851050147_1839354.910862,761327.851050147,1839354.910862
761354.353658569_1841099.62487868,761354.353658569,1841099.62487868
761354.361581536_1841098.82491791,761354.361581536,1841098.82491791
761354.366536565_1841098.32462189,761354.366536565,1841098.32462189
761354.37159832_1841097.82432717,761354.37159832,1841097.82432717
761390.853555331_1837350.62071148,761390.853555331,1837350.62071148
761390.858603189_1837350.12052886,761390.858603189,1837350.12052886
761390.863544299_1837349.62034492,761390.863544299,1837349.62034492
761390.871446782_1837348.82038395,761390.871446782,1837348.82038395
761466.559144108_1837341.86941715,761466.559144108,1837341.86941715
761466.564088313_1837341.36912227,761466.564088313,1837341.36912227
761466.569137912_1837340.86893942,761466.569137912,1837340.86893942
761466.577213905_1837340.06898018,761466.577213905,1837340.06898018
761693.10578987_1837310.2161343,761693.10578987,1837310.2161343
761753.014112575_1837303.30443924,761753.014112575,1837303.30443924
762125.546751465_1837249.30055293,762125.546751465,1837249.30055293
762168.701951437_1839050.56534565,762168.701951437,1839050.56534565
762367.364654777_1836973.53080041,762367.364654777,1836973.53080041
762367.864894024_1836973.53583086,762367.864894024,1836973.53583086
762368.365134635_1836973.54075061,762368.365134635,1836973.54075061
762369.165095949_1836973.54861804,762369.165095949,1836973.54861804
762387.193482996_1839864.91977217,762387.193482996,1839864.91977217
762387.201607845_1839864.11981343,762387.201607845,1839864.11981343
762387.206688033_1839863.61962682,762387.206688033,1839863.61962682
